[03.07.2022 | 05:09:55]Launching "DronsEngine Game" ...
[03.07.2022 | 05:09:55]Initialization...
[03.07.2022 | 05:09:55]Start game loop...
[03.07.2022 | 05:09:56][WARNING]EVENT 2!
[03.07.2022 | 05:09:56][ERROR]EVENT 1!
[03.07.2022 | 05:09:57]Resizing game window...
[03.07.2022 | 05:09:58]Resizing game window...
[03.07.2022 | 05:10:00]Resizing game window...
[03.07.2022 | 05:10:02]Exiting...
[03.07.2022 | 05:12:36]Launching "DronsEngine Game" ...
[03.07.2022 | 05:12:36]Initialization...
[03.07.2022 | 05:12:36]Start game loop...
[03.07.2022 | 05:12:46]Exiting...



[03.07.2022 | 05:12:54]Launching "DronsEngine Game" ...
[03.07.2022 | 05:12:54]Initialization...
[03.07.2022 | 05:12:54]Start game loop...
[03.07.2022 | 05:12:57][WARNING]EVENT 2!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][WARNING]EVENT 2!
[03.07.2022 | 05:12:57][WARNING]EVENT 2!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:57][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:58][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:12:59][ERROR]EVENT 1!
[03.07.2022 | 05:13:00]Resizing game window...
[03.07.2022 | 05:13:01]Resizing game window...
[03.07.2022 | 05:13:03]Exiting...



