[05.08.2025 | 14:40:20] [INFO ][Game] Launching "DronsEngine Game"...
[05.08.2025 | 14:40:20] [INFO ][Game] Initialization...
[05.08.2025 | 14:40:21] [DEBUG][State System] Starting Scene state...
[05.08.2025 | 14:40:21] [INFO ][Game Loop] Start game loop...
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:24] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:26] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:26] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:26] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:26] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:26] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:27] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:28] [DEBUG][Physics Engine] EVENT 1!
[05.08.2025 | 14:40:28] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:28] [DEBUG][Physics Engine] EVENT 2!
[05.08.2025 | 14:40:28] [DEBUG][Physics Engine] EVENT 2!
