[20.10.2024 | 12:51:12] Launching "DronsEngine Game"...
[20.10.2024 | 12:51:13] Initialization...
[20.10.2024 | 12:51:13] Starting Scene state...
[20.10.2024 | 12:51:13] Start game loop...
[20.10.2024 | 12:51:25][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:25][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:25][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:25][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:25][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:25][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:25][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:25][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:26][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:29][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:30][ WARNING ] EVENT 2!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:30][  ERROR  ] EVENT 1!
[20.10.2024 | 12:51:31][  ERROR  ] EVENT 1!
